QsF+xhfFa1JNBKV4mb8bJrEdrFsh4/EfrWt4v29E6CdEH+9Bum0tymTkYjhDnQY/,Datuk Dr. Noor Hisham bin Abdullah,Pengerusi,Tiada,Tiada,Dato’ Dr. Hj. Azman bin Hj. Abu Bakar,Tiada,Tiada,QsF+xhfFa1JNBKV4mb8bJrEdrFsh4EfrWt4v29E6CdEH+9Bum0tymTkYjhDnQY
C+7QgSxMi/g4x3167Nx6lYjeXgleVZCjasOHQkHm3Y2yWzz4iZ7O35ElYI3dHRI145N0im7kVjGAfIKt+UAp+Q==,Dato’ Dr. Hj. Bahari bin Dato’ Tok Muda Hj. Awang Ngah,Wakil daripada Kementerian Kesihatan,31/07/2019,31/07/2019,Datin Sri Dr. Asmah binti Samat,12092018,31/07/2019,C+7QgSxMig4x3167Nx6lYjeXgleVZCjasOHQkHm3Y2yWzz4iZ7O35ElYI3dHRI145N0im7kVjGAfIKt+UAp+Q==
MiCnBof7vEy0Dmt2es+aTPuhM04QkksWEceZ4ceKzco=,Dr. Goh Cheng Soon,Wakil daripada Kementerian Kesihatan,31/07/2019,31/07/2019,Cik Ng Angeline,12092018,31/07/2019,MiCnBof7vEy0Dmt2es+aTPuhM04QkksWEceZ4ceKzco=
bE5Ly2bT6k8QIvQ4NMKpaqus+i9iXyT+QwWJZD8kgeY=,Dr. Hayati binti Mohd. Radzi,Wakil daripada Kementerian Kesihatan,31/07/2019,31/07/2019,Dr. Faridah binti Abu Bakar,03012018,31/07/2019,bE5Ly2bT6k8QIvQ4NMKpaqus+i9iXyT+QwWJZD8kgeY=
6nga+roFAj/x4MybDm+EDusQ9VU+BBZRp9bD7cvn8rk=,Dr. Te Kian Keong,Wakil daripada mana-mana universiti tempatan yang mempunyai kepakaran dalam bidang perubatan tradisional dan komplementari,31/07/2019,31/07/2019,Dr. Yong Kian Fui,03012018,31/07/2019,6nga+roFAjx4MybDm+EDusQ9VU+BBZRp9bD7cvn8rk=
9G9i0GlAvZrQnOd3sWN3HY8e7gvo1ETHSbS2W1TJwbI=,Pn. Chan Vey Lian,Wakil daripada mana-mana universiti tempatan yang mempunyai kepakaran dalam bidang perubatan tradisional dan komplementari,31/07/2019,31/07/2019,Dr. Hea Ai Sim,03012018,31/07/2019,9G9i0GlAvZrQnOd3sWN3HY8e7gvo1ETHSbS2W1TJwbI=
+U/MJYTIRgl4igEhr/AVNrNg3tlr/3KBC0WgjDV67nG89c3YIJRys35pZSShioXV,Datuk Haji Mohamad Nordin bin Ibrahim,Individu yang mempunyai pengalaman dan kepakaran yang layak dalam industri yang berkaitan,31/07/2019,31/07/2019,Pn. Hjh. Hakimah binti Mohd Yusoff,12092018,31/07/2019,+UMJYTIRgl4igEhrAVNrNg3tlr3KBC0WgjDV67nG89c3YIJRys35pZSShioXV
4Kxw4rhggpo5V/M/16V6yw4ITJn1EclKC3GR8Fx38OY=,En. Banabas @ Benedict Tapin,Individu yang mempunyai pengalaman dan kepakaran yang layak dalam industri yang berkaitan,31/07/2019,31/07/2019,Pn. Dorothea Justin Moduying,03012018,31/07/2019,4Kxw4rhggpo5VM16V6yw4ITJn1EclKC3GR8Fx38OY=
eLjFazEH55Hi+56OFWADxA==,Dr. Ng Po Kok,Individu yang mempunyai pengalaman dan kepakaran yang layak dalam industri yang berkaitan,31/07/2019,31/07/2019,Dr. Cheong Juan Hai,03012018,31/07/2019,eLjFazEH55Hi+56OFWADxA==
v8g0Ut1QbCUKomXUhTb/1w==,En. Ting Ka Hua,Individu yang mempunyai pengalaman dan kepakaran yang layak dalam industri yang berkaitan,31/07/2019,31/07/2019,En. Lim Long Fuat,03012018,31/07/2019,v8g0Ut1QbCUKomXUhTb1w==
9jJW4gQlOrFPyf2vRVEOlAl6amhmT8KExd0vU20NnPE=,En. Thialan a/l Letchumanan,Individu yang mempunyai pengalaman dan kepakaran yang layak dalam industri yang berkaitan,31/07/2019,31/07/2019,En. Loh Lean Hoe,03012018,31/07/2019,9jJW4gQlOrFPyf2vRVEOlAl6amhmT8KExd0vU20NnPE=
o2Nw0zTDrJ9QmSLq4sYLle+oJYk592G7OaDPMyzX5Gw=,En. Mohd Adzhar bin Abd Latif,Individu dari amalan swasta yang mewakili badan pengamal perubatan tradisional dan komplementari yang ditetapkan di Malaysia,31/07/2019,31/07/2019,En. Norhissam bin Mustafa,03012018,31/07/2019,o2Nw0zTDrJ9QmSLq4sYLle+oJYk592G7OaDPMyzX5Gw=
